population,run,group,year,contact_type,condition,age_category,cost_location,engage_tier,cost_attributed,total_cost,members,employees,visits,members_clm,hierarchy,pmpy_cost,pmpy_cost_clm,avg_risk,pmpy_cost_risk,pmpy_cost_clm_risk
Outreach,run1,Outreach,2017,Mailers,Total,Total,Inpatient,,Member,5089920.01,3352,2307,289,185,,1518.4725567,27513.081135,1.9925393066,762.0790976,13808.049379
Outreach,run1,Outreach,2017,Mailers,Total,Total,Maternity,,Member,195095.79,3352,2307,156,31,,58.202801313,6293.4125806,1.9925393066,29.210365447,3158.4885477
Outreach,run1,Outreach,2017,Mailers,Total,Total,Medical,,Member,20176761.3,3352,2307,28695,2725,,6019.3201969,7404.3160734,1.9925393066,3020.9292118,3716.02008
Outreach,run1,Outreach,2017,Mailers,Total,Total,Office Visit,,Member,245603.32,3352,2307,1328,1039,,73.270680191,236.38433109,1.9925393066,36.772514324,118.63471416
Outreach,run1,Outreach,2017,Mailers,Total,Total,Outpatient,,Member,7930614.66,3352,2307,7860,1537,,2365.9351611,5159.8013403,1.9925393066,1187.396983,2589.5606291
Outreach,run1,Outreach,2017,Mailers,Total,Total,Pharmacy,,Member,5139741.73,3352,2307,28662,2433,,1533.3358383,2112.512014,1.9925393066,769.53856481,1060.2109615
Outreach,run1,Outreach,2017,Mailers,Total,Total,Professional,,Member,7156226.63,3352,2307,25099,2714,,2134.9124791,2636.7821039,1.9925393066,1071.4531312,1323.3275224
Outreach,run1,Outreach,2017,Mailers,Total,Total,Total,,Member,25316503.03,3352,2307,,,,7552.6560352,,1.9925393066,3790.4677766,
Outreach,run1,Outreach,2017,Outbound Outreach,Total,Total,ER,,Member,203593.67,172,98,103,48,,1183.6841279,4241.5347917,1.9925393066,594.05810666,2128.7082155
Outreach,run1,Outreach,2017,Outbound Outreach,Total,Total,Inpatient,,Member,1282910.38,172,98,61,35,,7458.7812791,36654.582286,1.9925393066,3743.3546503,18395.914281
Outreach,run1,Outreach,2017,Outbound Outreach,Total,Total,Maternity,,Member,2114.67,172,98,6,1,,12.294593023,2114.67,1.9925393066,6.1703139219,1061.2939946
Outreach,run1,Outreach,2017,Outbound Outreach,Total,Total,Medical,,Member,3869176.95,172,98,3531,167,,22495.214826,23168.724251,1.9925393066,11289.72199,11627.737619
Outreach,run1,Outreach,2017,Outbound Outreach,Total,Total,Office Visit,,Member,13445.98,172,98,75,61,,78.174302326,220.42590164,1.9925393066,39.233505742,110.62562275
Outreach,run1,Outreach,2017,Outbound Outreach,Total,Total,Outpatient,,Member,1465470.99,172,98,1070,117,,8520.1801744,12525.393077,1.9925393066,4276.0412035,6286.1460427
Outreach,run1,Outreach,2017,Outbound Outreach,Total,Total,Pharmacy,,Member,1433989.01,172,98,3949,166,,8337.145407,8638.488012,1.9925393066,4184.1811499,4335.4166132
Outreach,run1,Outreach,2017,Outbound Outreach,Total,Total,Professional,,Member,1120795.58,172,98,3052,166,,6516.2533721,6751.7806024,1.9925393066,3270.3261364,3388.5306956
Outreach,run1,Outreach,2017,Outbound Outreach,Total,Total,Total,,Member,5303165.96,172,98,,,,30832.360233,,1.9925393066,15473.90314,
Outreach,run1,Outreach,2017,Total,Total,Total,ER,,Member,1420948.9,3373,2319,921,545,,421.27153869,2607.2456881,1.9925393066,211.42445587,1308.5040177
Outreach,run1,Outreach,2017,Total,Total,Total,Inpatient,,Member,5116350.01,3373,2319,290,186,,1516.8544352,27507.258118,1.9925393066,761.26700749,13805.126969
Outreach,run1,Outreach,2017,Total,Total,Total,Maternity,,Member,197210.46,3373,2319,162,32,,58.467376223,6162.826875,1.9925393066,29.343148228,3092.9512179
Outreach,run1,Outreach,2017,Total,Total,Total,Medical,,Member,20247007.52,3373,2319,28895,2743,,6002.6704773,7381.337047,1.9925393066,3012.5731811,3704.4875465
Outreach,run1,Outreach,2017,Total,Total,Total,Office Visit,,Member,248268.88,3373,2319,1342,1051,,73.604767269,236.22157945,1.9925393066,36.940183326,118.55303364
Outreach,run1,Outreach,2017,Total,Total,Total,Outpatient,,Member,7943125.6,3373,2319,7900,1542,,2354.914201,5151.183917,1.9925393066,1181.86587,2585.2357843
Outreach,run1,Outreach,2017,Total,Total,Total,Pharmacy,,Member,5183475.07,3373,2319,28830,2450,,1536.7551349,2115.7041102,1.9925393066,771.25461457,1061.8129857
Outreach,run1,Outreach,2017,Total,Total,Total,Professional,,Member,7187531.91,3373,2319,25275,2732,,2130.9018411,2630.8681955,1.9925393066,1069.4403037,1320.3594964
Outreach,run1,Outreach,2017,Total,Total,Total,Total,,Member,25430482.59,3373,2319,,,,7539.4256122,,1.9925393066,3783.8277957,
Outreach,run1,Outreach,2017,Automated Outbound,Total,Total,ER,,Employee,889570.9,3219,2220,527,336,,400.70761261,,1.9925393066,201.10399393,
Outreach,run1,Outreach,2017,Automated Outbound,Total,Total,Inpatient,,Employee,2845062.21,3219,2220,147,101,,1281.5595541,,1.9925393066,643.17905791,
Outreach,run1,Outreach,2017,Automated Outbound,Total,Total,Maternity,,Employee,141027.22,3219,2220,67,13,,63.525774775,,1.9925393066,31.881817621,
Outreach,run1,Outreach,2017,Automated Outbound,Total,Total,Medical,,Employee,11572494.53,3219,2220,16310,1771,,5212.8353739,,1.9925393066,2616.176934,
Outreach,run1,Outreach,2017,Automated Outbound,Total,Total,Office Visit,,Employee,153255.08,3219,2220,830,643,,69.03381982,,1.9925393066,34.64615207,
Outreach,run1,Outreach,2017,Automated Outbound,Total,Total,Outpatient,,Employee,4826344.54,3219,2220,4243,960,,2174.0290721,,1.9925393066,1091.0846601,
Outreach,run1,Outreach,2017,Automated Outbound,Total,Total,Pharmacy,,Employee,2762346.64,3219,2220,16786,1559,,1244.3002883,,1.9925393066,624.47966983,
Outreach,run1,Outreach,2017,Automated Outbound,Total,Total,Professional,,Employee,3901087.78,3219,2220,14410,1765,,1757.2467477,,1.9925393066,881.91321594,
Outreach,run1,Outreach,2017,Automated Outbound,Total,Total,Total,,Employee,14334841.17,3219,2220,,,,6457.1356622,,1.9925393066,3240.6566038,
Outreach,run1,Outreach,2017,Mailers,Total,Total,ER,,Employee,928313.85,3352,2307,570,359,,402.39005202,,1.9925393066,201.94836342,
Outreach,run1,Outreach,2017,Mailers,Total,Total,Inpatient,,Employee,2861307.19,3352,2307,151,104,,1240.2718639,,1.9925393066,622.45791579,
Outreach,run1,Outreach,2017,Mailers,Total,Total,Maternity,,Employee,141027.22,3352,2307,67,13,,61.130134374,,1.9925393066,30.679512405,
Outreach,run1,Outreach,2017,Mailers,Total,Total,Medical,,Employee,11824875.64,3352,2307,16881,1836,,5125.6504725,,1.9925393066,2572.4212594,
Outreach,run1,Outreach,2017,Mailers,Total,Total,Office Visit,,Employee,156412.36,3352,2307,854,659,,67.799029042,,1.9925393066,34.026444958,
Outreach,run1,Outreach,2017,Mailers,Total,Total,Outpatient,,Employee,4951696.32,3352,2307,4402,998,,2146.3789857,,1.9925393066,1077.2078516,
Outreach,run1,Outreach,2017,Mailers,Total,Total,Pharmacy,,Employee,2804755.79,3352,2307,17189,1611,,1215.7589033,,1.9925393066,610.1555434,
Outreach,run1,Outreach,2017,Mailers,Total,Total,Professional,,Employee,4011872.13,3352,2307,14935,1830,,1738.9996229,,1.9925393066,872.75549203,
Outreach,run1,Outreach,2017,Mailers,Total,Total,Total,,Employee,14629631.43,3352,2307,,,,6341.4093758,,1.9925393066,3182.5768028,
Outreach,run1,Outreach,2017,Outbound Outreach,Total,Total,ER,,Employee,118596.09,172,98,50,23,,1210.1641837,,1.9925393066,607.34770937,
Outreach,run1,Outreach,2017,Outbound Outreach,Total,Total,Inpatient,,Employee,731475.51,172,98,32,19,,7464.0358163,,1.9925393066,3745.9917562,
Outreach,run1,Outreach,2017,Outbound Outreach,Total,Total,Maternity,,Employee,2114.67,172,98,6,1,,21.578265306,,1.9925393066,10.829530557,
Outreach,run1,Outreach,2017,Outbound Outreach,Total,Total,Medical,,Employee,2362801.43,172,98,1859,95,,24110.218673,,1.9925393066,12100.247455,
Outreach,run1,Outreach,2017,Outbound Outreach,Total,Total,Office Visit,,Employee,7657.82,172,98,42,34,,78.141020408,,1.9925393066,39.216802474,
Outreach,run1,Outreach,2017,Outbound Outreach,Total,Total,Outpatient,,Employee,1005030.38,172,98,619,61,,10255.412041,,1.9925393066,5146.9057634,
Outreach,run1,Outreach,2017,Outbound Outreach,Total,Total,Pharmacy,,Employee,761347.98,172,98,2141,94,,7768.8569388,,1.9925393066,3898.9729905,
Outreach,run1,Outreach,2017,Outbound Outreach,Total,Total,Professional,,Employee,626295.54,172,98,1556,95,,6390.7708163,,1.9925393066,3207.3499355,
Outreach,run1,Outreach,2017,Outbound Outreach,Total,Total,Total,,Employee,3124149.41,172,98,,,,31879.075612,,1.9925393066,15999.220446,
Outreach,run1,Outreach,2017,Total,Total,Total,ER,,Employee,928313.85,3373,2319,570,359,,400.30782665,,1.9925393066,200.90335249,
Outreach,run1,Outreach,2017,Total,Total,Total,Inpatient,,Employee,2887737.19,3373,2319,152,105,,1245.2510522,,1.9925393066,624.95683176,
Outreach,run1,Outreach,2017,Total,Total,Total,Maternity,,Employee,143141.89,3373,2319,73,14,,61.725696421,,1.9925393066,30.978408415,
Outreach,run1,Outreach,2017,Total,Total,Total,Medical,,Employee,11879410.93,3373,2319,16992,1846,,5122.6437818,,1.9925393066,2570.9122851,
Outreach,run1,Outreach,2017,Total,Total,Total,Office Visit,,Employee,157817,3373,2319,861,665,,68.053902544,,1.9925393066,34.154358873,
Outreach,run1,Outreach,2017,Total,Total,Total,Outpatient,,Employee,4961074.87,3373,2319,4437,1000,,2139.3164597,,1.9925393066,1073.6633665,
Outreach,run1,Outreach,2017,Total,Total,Total,Pharmacy,,Employee,2811913.8,3373,2319,17284,1620,,1212.5544631,,1.9925393066,608.54732408,
Outreach,run1,Outreach,2017,Total,Total,Total,Professional,,Employee,4030598.87,3373,2319,15022,1840,,1738.0762699,,1.9925393066,872.2920869,
Outreach,run1,Outreach,2017,Total,Total,Total,Total,,Employee,14691324.73,3373,2319,,,,6335.1982449,,1.9925393066,3179.4596092,
Outreach,run1,Outreach,2018,Automated Outbound,Total,Total,ER,,Member,1465739.92,3403,2401,806,466,,430.71992947,3145.3646352,1.5755131533,273.38389944,1996.4064588
Outreach,run1,Outreach,2018,Automated Outbound,Total,Total,Inpatient,,Member,5012376.57,3403,2401,239,158,,1472.9287599,31723.902342,1.5755131533,934.88826598,20135.599805
Outreach,run1,Outreach,2018,Automated Outbound,Total,Total,Maternity,,Member,64829.79,3403,2401,127,42,,19.050775786,1543.5664286,1.5755131533,12.091791012,979.72297174
Outreach,run1,Outreach,2018,Automated Outbound,Total,Total,Medical,,Member,19247272.94,3403,2401,28498,2750,,5655.9720658,6999.0083418,1.5755131533,3589.9237363,4442.3674453
Outreach,run1,Outreach,2018,Automated Outbound,Total,Total,Office Visit,,Member,284594.2,3403,2401,1512,1135,,83.630384954,250.74378855,1.5755131533,53.081362589,159.15055233
Outreach,run1,Outreach,2018,Automated Outbound,Total,Total,Outpatient,,Member,7310453.9,3403,2401,6885,1505,,2148.2379959,4857.4444518,1.5755131533,1363.5163828,3083.0872098
Outreach,run1,Outreach,2018,Automated Outbound,Total,Total,Pharmacy,,Member,5170746.32,3403,2401,27598,2498,,1519.467035,2069.9544916,1.5755131533,964.42675314,1313.8287594
Outreach,run1,Outreach,2018,Automated Outbound,Total,Total,Professional,,Member,6924442.47,3403,2401,25540,2748,,2034.80531,2519.8116703,1.5755131533,1291.5190875,1599.3593357
Outreach,run1,Outreach,2018,Automated Outbound,Total,Total,Total,,Member,24418019.26,3403,2401,,,,7175.4391008,,1.5755131533,4554.3504894,
Outreach,run1,Outreach,2018,Mailers,Total,Total,ER,,Member,1292944.09,2736,1829,726,403,,472.56728436,3208.2979901,1.5755131533,299.94499466,2036.35113
Outreach,run1,Outreach,2018,Mailers,Total,Total,Inpatient,,Member,4648386.61,2736,1829,209,136,,1698.9717142,34179.313309,1.5755131533,1078.360857,21694.083123
Outreach,run1,Outreach,2018,Mailers,Total,Total,Maternity,,Member,45783.12,2736,1829,77,31,,16.733596491,1476.8748387,1.5755131533,10.621045249,937.39289679
Outreach,run1,Outreach,2018,Mailers,Total,Total,Medical,,Member,16958517.79,2736,1829,22685,2139,,6198.2886659,7928.2458111,1.5755131533,3934.1395868,5032.1673256
Outreach,run1,Outreach,2018,Mailers,Total,Total,Office Visit,,Member,201572.52,2736,1829,1057,817,,73.674166667,246.7227907,1.5755131533,46.76201307,156.59836935
Outreach,run1,Outreach,2018,Mailers,Total,Total,Outpatient,,Member,6679419.33,2736,1829,6200,1224,,2441.3082346,5457.0419363,1.5755131533,1549.5321188,3463.6600303
Outreach,run1,Outreach,2018,Mailers,Total,Total,Pharmacy,,Member,4484270.31,2736,1829,23085,1962,,1638.9876864,2285.5608104,1.5755131533,1040.2881645,1450.6770734
Outreach,run1,Outreach,2018,Mailers,Total,Total,Professional,,Member,5630711.85,2736,1829,19922,2137,,2058.0087171,2634.8675012,1.5755131533,1306.246611,1672.3868637
Outreach,run1,Outreach,2018,Mailers,Total,Total,Total,,Member,21442788.1,2736,1829,,,,7837.2763523,,1.5755131533,4974.4277513,
Outreach,run1,Outreach,2018,Outbound Outreach,Total,Total,ER,,Member,68307.85,149,85,42,22,,458.44194631,3104.9022727,1.5755131533,290.97944714,1970.7244374
Outreach,run1,Outreach,2018,Outbound Outreach,Total,Total,Inpatient,,Member,722634.9,149,85,24,15,,4849.8986577,48175.66,1.5755131533,3078.2977899,30577.758046
Outreach,run1,Outreach,2018,Outbound Outreach,Total,Total,Maternity,,Member,491.65,149,85,4,1,,3.2996644295,491.65,1.5755131533,2.0943426734,312.05705834
Outreach,run1,Outreach,2018,Outbound Outreach,Total,Total,Medical,,Member,1918655.91,149,85,2128,137,,12876.885302,14004.787664,1.5755131533,8173.1372887,8889.0325256
Outreach,run1,Outreach,2018,Outbound Outreach,Total,Total,Office Visit,,Member,12254.99,149,85,72,50,,82.248255034,245.0998,1.5755131533,52.204105603,155.5682347
Outreach,run1,Outreach,2018,Outbound Outreach,Total,Total,Outpatient,,Member,578930.24,149,85,524,81,,3885.4378523,7147.2869136,1.5755131533,2466.1411707,4536.4819066
Outreach,run1,Outreach,2018,Outbound Outreach,Total,Total,Pharmacy,,Member,746177.63,149,85,2071,125,,5007.903557,5969.42104,1.5755131533,3178.5856859,3788.8741376
Outreach,run1,Outreach,2018,Outbound Outreach,Total,Total,Professional,,Member,617090.77,149,85,1906,137,,4141.5487919,4504.3121898,1.5755131533,2628.6983281,2858.9492765
Outreach,run1,Outreach,2018,Outbound Outreach,Total,Total,Total,,Member,2664833.54,149,85,,,,17884.788859,,1.5755131533,11351.722975,
Outreach,run1,Outreach,2018,Total,Total,Total,ER,,Member,1541150.15,3660,2532,864,499,,421.07927596,3088.4772545,1.5755131533,267.26484325,1960.2992511
Outreach,run1,Outreach,2018,Total,Total,Total,Inpatient,,Member,5361337.26,3660,2532,258,170,,1464.8462459,31537.278,1.5755131533,929.75818249,20017.146752
Outreach,run1,Outreach,2018,Total,Total,Total,Maternity,,Member,72931.22,3660,2532,140,49,,19.926562842,1488.3922449,1.5755131533,12.647665175,944.70315388
Outreach,run1,Outreach,2018,Total,Total,Total,Medical,,Member,20430361.26,3660,2532,30127,2930,,5582.065918,6972.8195427,1.5755131533,3543.0144816,4425.745052
Outreach,run1,Outreach,2018,Total,Total,Total,Office Visit,,Member,303174.15,3660,2532,1599,1209,,82.834467213,250.76439206,1.5755131533,52.576182585,159.16362966
Outreach,run1,Outreach,2018,Total,Total,Total,Outpatient,,Member,7753842.7,3660,2532,7336,1597,,2118.5362568,4855.2552912,1.5755131533,1344.664278,3081.6977192
Outreach,run1,Outreach,2018,Total,Total,Total,Pharmacy,,Member,5495052.26,3660,2532,28952,2656,,1501.3803989,2068.9202786,1.5755131533,952.94691495,1313.1723301
Outreach,run1,Outreach,2018,Total,Total,Total,Professional,,Member,7315181.3,3660,2532,26978,2928,,1998.6834153,2498.3542691,1.5755131533,1268.592021,1585.7400263
Outreach,run1,Outreach,2018,Total,Total,Total,Total,,Member,25925413.52,3660,2532,,,,7083.4463169,,1.5755131533,4495.9613965,
Outreach,run1,Outreach,2018,Automated Outbound,Total,Total,ER,,Employee,946266.15,3403,2401,507,307,,394.1133486,,1.5755131533,250.14919601,
Outreach,run1,Outreach,2018,Automated Outbound,Total,Total,Inpatient,,Employee,3048848.89,3403,2401,138,98,,1269.8246106,,1.5755131533,805.97525188,
Outreach,run1,Outreach,2018,Automated Outbound,Total,Total,Maternity,,Employee,39383.98,3403,2401,76,22,,16.403157018,,1.5755131533,10.411310742,
Outreach,run1,Outreach,2018,Automated Outbound,Total,Total,Medical,,Employee,11839711.37,3403,2401,17568,1899,,4931.1584215,,1.5755131533,3129.8744864,
Outreach,run1,Outreach,2018,Automated Outbound,Total,Total,Office Visit,,Employee,187347.54,3403,2401,990,750,,78.028962932,,1.5755131533,49.52606252,
Outreach,run1,Outreach,2018,Automated Outbound,Total,Total,Outpatient,,Employee,4441696.56,3403,2401,3821,1005,,1849.9360933,,1.5755131533,1174.1800374,
Outreach,run1,Outreach,2018,Automated Outbound,Total,Total,Pharmacy,,Employee,3121911.99,3403,2401,17156,1706,,1300.2548896,,1.5755131533,825.28977108,
Outreach,run1,Outreach,2018,Automated Outbound,Total,Total,Professional,,Employee,4349165.92,3403,2401,16127,1897,,1811.3977176,,1.5755131533,1149.7191971,
Outreach,run1,Outreach,2018,Automated Outbound,Total,Total,Total,,Employee,14961623.36,3403,2401,,,,6231.4133111,,1.5755131533,3955.1642575,
Outreach,run1,Outreach,2018,Mailers,Total,Total,ER,,Employee,794644.08,2736,1829,433,255,,434.46915254,,1.5755131533,275.76358321,
Outreach,run1,Outreach,2018,Mailers,Total,Total,Inpatient,,Employee,2744132.42,2736,1829,106,76,,1500.3457736,,1.5755131533,952.29022398,
Outreach,run1,Outreach,2018,Mailers,Total,Total,Maternity,,Employee,21379.24,2736,1829,32,13,,11.689032258,,1.5755131533,7.4191905244,
Outreach,run1,Outreach,2018,Mailers,Total,Total,Medical,,Employee,9929500.45,2736,1829,13245,1406,,5428.9231547,,1.5755131533,3445.8126505,
Outreach,run1,Outreach,2018,Mailers,Total,Total,Office Visit,,Employee,126389.23,2736,1829,660,511,,69.102914161,,1.5755131533,43.860575849,
Outreach,run1,Outreach,2018,Mailers,Total,Total,Outpatient,,Employee,3828814.5,2736,1829,3294,785,,2093.3922909,,1.5755131533,1328.7050549,
Outreach,run1,Outreach,2018,Mailers,Total,Total,Pharmacy,,Employee,2660499.14,2736,1829,13669,1272,,1454.6195407,,1.5755131533,923.2671512,
Outreach,run1,Outreach,2018,Mailers,Total,Total,Professional,,Employee,3356553.53,2736,1829,11967,1404,,1835.1850902,,1.5755131533,1164.8173716,
Outreach,run1,Outreach,2018,Mailers,Total,Total,Total,,Employee,12589999.59,2736,1829,,,,6883.5426955,,1.5755131533,4369.0798017,
Outreach,run1,Outreach,2018,Outbound Outreach,Total,Total,ER,,Employee,16138.92,149,85,8,5,,189.86964706,,1.5755131533,120.51289236,
Outreach,run1,Outreach,2018,Outbound Outreach,Total,Total,Inpatient,,Employee,325923.27,149,85,11,7,,3834.3914118,,1.5755131533,2433.7412885,
Outreach,run1,Outreach,2018,Outbound Outreach,Total,Total,Medical,,Employee,811107.98,149,85,898,78,,9542.4468235,,1.5755131533,6056.7230451,
Outreach,run1,Outreach,2018,Outbound Outreach,Total,Total,Office Visit,,Employee,6684,149,85,41,29,,78.635294118,,1.5755131533,49.910909314,
Outreach,run1,Outreach,2018,Outbound Outreach,Total,Total,Outpatient,,Employee,222046.38,149,85,200,40,,2612.3103529,,1.5755131533,1658.0695296,
Outreach,run1,Outreach,2018,Outbound Outreach,Total,Total,Pharmacy,,Employee,324825.1,149,85,965,70,,3821.4717647,,1.5755131533,2425.5410097,
Outreach,run1,Outreach,2018,Outbound Outreach,Total,Total,Professional,,Employee,263138.33,149,85,803,78,,3095.7450588,,1.5755131533,1964.9122271,
Outreach,run1,Outreach,2018,Outbound Outreach,Total,Total,Total,,Employee,1135933.08,149,85,,,,13363.918588,,1.5755131533,8482.2640549,
Outreach,run1,Outreach,2018,Total,Total,Total,ER,,Employee,988320.5,3660,2532,534,326,,390.33195103,,1.5755131533,247.74909064,
Outreach,run1,Outreach,2018,Total,Total,Total,Inpatient,,Employee,3181808.06,3660,2532,144,102,,1256.6382543,,1.5755131533,797.60568911,
Outreach,run1,Outreach,2018,Total,Total,Total,Maternity,,Employee,40713.61,3660,2532,78,24,,16.079624803,,1.5755131533,10.205960368,
Outreach,run1,Outreach,2018,Total,Total,Total,Medical,,Employee,12300110.85,3660,2532,18361,1995,,4857.8636848,,1.5755131533,3083.3533028,
Outreach,run1,Outreach,2018,Total,Total,Total,Office Visit,,Employee,196667.09,3660,2532,1035,787,,77.672626382,,1.5755131533,49.299890781,
Outreach,run1,Outreach,2018,Total,Total,Total,Outpatient,,Employee,4614434.82,3660,2532,4111,1055,,1822.4466114,,1.5755131533,1156.7320828,
Outreach,run1,Outreach,2018,Total,Total,Total,Pharmacy,,Employee,3298486.21,3660,2532,17767,1786,,1302.7196722,,1.5755131533,826.85420269,
Outreach,run1,Outreach,2018,Total,Total,Total,Professional,,Employee,4503867.97,3660,2532,16771,1993,,1778.7788191,,1.5755131533,1129.0155308,
Outreach,run1,Outreach,2018,Total,Total,Total,Total,,Employee,15598597.06,3660,2532,,,,6160.583357,,1.5755131533,3910.2075055,
Outreach,run1,Non-Outreach,2017,Total,Total,Total,ER,,Member,723742.25,3573,1111,638,415,,202.55870417,1743.9572289,0.7768893506,260.73044252,2244.7948702
Outreach,run1,Non-Outreach,2017,Total,Total,Total,Inpatient,,Member,1844672.4,3573,1111,116,84,,516.28110831,21960.385714,0.7768893506,664.54908657,28267.070075
Outreach,run1,Non-Outreach,2017,Total,Total,Total,Maternity,,Member,142697.1,3573,1111,152,38,,39.937615449,3755.1868421,0.7768893506,51.407083156,4833.6186346
Outreach,run1,Non-Outreach,2017,Total,Total,Total,Medical,,Member,8458993.48,3573,1111,17566,2548,,2367.4764847,3319.8561538,0.7768893506,3047.3792476,4273.2676813
Outreach,run1,Non-Outreach,2017,Total,Total,Total,Office Visit,,Member,272120.49,3573,1111,1667,1276,,76.1602267,213.2605721,0.7768893506,98.032270157,274.505722
Outreach,run1,Non-Outreach,2017,Total,Total,Total,Outpatient,,Member,2825388.5,3573,1111,3143,976,,790.76084523,2894.8652664,0.7768893506,1017.8551741,3726.2259602
Outreach,run1,Non-Outreach,2017,Total,Total,Total,Pharmacy,,Member,1272164.39,3573,1111,11089,1987,,356.04936748,640.24377957,0.7768893506,458.30125899,824.11192671
Outreach,run1,Non-Outreach,2017,Total,Total,Total,Professional,,Member,3788932.58,3573,1111,16290,2542,,1060.4345312,1490.5320928,0.7768893506,1364.974987,1918.5899404
Outreach,run1,Non-Outreach,2017,Total,Total,Total,Total,,Member,9731157.87,3573,1111,,,,2723.5258522,,0.7768893506,3505.6805066,
Outreach,run1,Non-Outreach,2017,Total,Total,Total,ER,,Employee,261322.68,3573,1111,183,119,,235.21393339,,0.7768893506,302.76375035,
Outreach,run1,Non-Outreach,2017,Total,Total,Total,Inpatient,,Employee,1043263.21,3573,1111,52,34,,939.03079208,,0.7768893506,1208.7059648,
Outreach,run1,Non-Outreach,2017,Total,Total,Total,Maternity,,Employee,71332.99,3573,1111,84,20,,64.206111611,,0.7768893506,82.645117431,
Outreach,run1,Non-Outreach,2017,Total,Total,Total,Medical,,Employee,3771583.11,3573,1111,5677,734,,3394.7642754,,0.7768893506,4369.688261,
Outreach,run1,Non-Outreach,2017,Total,Total,Total,Office Visit,,Employee,71954.26,3573,1111,359,275,,64.765310531,,0.7768893506,83.364909663,
Outreach,run1,Non-Outreach,2017,Total,Total,Total,Outpatient,,Employee,1357913.68,3573,1111,1447,344,,1222.2445365,,0.7768893506,1573.2543322,
Outreach,run1,Non-Outreach,2017,Total,Total,Total,Pharmacy,,Employee,457426.29,3573,1111,3615,600,,411.72483348,,0.7768893506,529.96586086,
Outreach,run1,Non-Outreach,2017,Total,Total,Total,Professional,,Employee,1370406.22,3573,1111,4954,733,,1233.4889469,,0.7768893506,1587.727964,
Outreach,run1,Non-Outreach,2017,Total,Total,Total,Total,,Employee,4229009.4,3573,1111,,,,3806.4891089,,0.7768893506,4899.6541219,
Outreach,run1,Non-Outreach,2018,Total,Total,Total,ER,,Member,837316.7,3167,912,643,411,,264.38796969,2037.26691,0.7383640745,358.0726349,2759.1631016
Outreach,run1,Non-Outreach,2018,Total,Total,Total,Inpatient,,Member,2062973.85,3167,912,101,77,,651.39685823,26791.868182,0.7383640745,882.21634921,36285.443869
Outreach,run1,Non-Outreach,2018,Total,Total,Total,Maternity,,Member,70733.74,3167,912,106,31,,22.334619514,2281.7335484,0.7383640745,30.248789566,3090.2553728
Outreach,run1,Non-Outreach,2018,Total,Total,Total,Medical,,Member,8284094.82,3167,912,15294,2266,,2615.7546006,3655.8229568,0.7383640745,3542.6352538,4951.2470647
Outreach,run1,Non-Outreach,2018,Total,Total,Total,Office Visit,,Member,221854.16,3167,912,1357,1081,,70.051834544,205.23049029,0.7383640745,94.874381026,277.95297383
Outreach,run1,Non-Outreach,2018,Total,Total,Total,Outpatient,,Member,2879778.37,3167,912,2974,886,,909.30797916,3250.3141874,0.7383640745,1231.5170937,4402.0481216
Outreach,run1,Non-Outreach,2018,Total,Total,Total,Pharmacy,,Member,1765001.48,3167,912,11502,1800,,557.31022419,980.55637778,0.7383640745,754.79054765,1328.0120358
Outreach,run1,Non-Outreach,2018,Total,Total,Total,Professional,,Member,3341342.6,3167,912,14151,2259,,1055.0497632,1479.1246569,0.7383640745,1428.9018109,2003.2456994
