population,run,group,year,contact_type,age_category,cost_location,engage_tier,cost_attributed,total_cost,members,employees,visits,members_clm,hierarchy,pmpy_cost,pmpy_cost_clm,avg_risk,pmpy_cost_risk,pmpy_cost_clm_risk
Outreach,run1,Engaged,2017,Tier,Total,Pharmacy,High,Member,,,,0,0,,,,,,
Outreach,run1,Engaged,2017,Tier,Total,Total,High,Member,,,,,,,,,,,
Outreach,run1,Engaged,2017,Tier,Total,Medical,Low,Member,,,,0,0,,,,,,
Outreach,run1,Engaged,2017,Tier,Total,Pharmacy,Low,Member,,,,0,0,,,,,,
Outreach,run1,Engaged,2017,Tier,Total,Total,Low,Member,,,,,,,,,,,
Outreach,run1,Engaged,2017,Total,Total,Medical,,Member,,0,0,0,0,,,,,,
Outreach,run1,Engaged,2017,Total,Total,Pharmacy,,Member,,0,0,0,0,,,,,,
Outreach,run1,Engaged,2017,Total,Total,Total,,Member,,0,0,,,,,,,,
Outreach,run1,Engaged,2017,Wellness Challenges,Total,Medical,,Member,,,,0,0,,,,,,
Outreach,run1,Engaged,2017,Wellness Challenges,Total,Pharmacy,,Member,,,,0,0,,,,,,
Outreach,run1,Engaged,2017,Wellness Challenges,Total,Total,,Member,,,,,,,,,,,
Outreach,run1,Engaged,2017,Wellness Commitments,Total,Medical,,Member,,,,0,0,,,,,,
Outreach,run1,Engaged,2017,Wellness Commitments,Total,Pharmacy,,Member,,,,0,0,,,,,,
Outreach,run1,Engaged,2017,Wellness Commitments,Total,Total,,Member,,,,,,,,,,,
Outreach,run1,Engaged,2017,Wellness Tracker,Total,Medical,,Member,,,,0,0,,,,,,
Outreach,run1,Engaged,2017,Wellness Tracker,Total,Pharmacy,,Member,,,,0,0,,,,,,
Outreach,run1,Engaged,2017,Wellness Tracker,Total,Total,,Member,,,,,,,,,,,
Outreach,run1,Engaged,2017,Wellness Workshops,Total,Medical,,Member,,,,0,0,,,,,,
Outreach,run1,Engaged,2017,Wellness Workshops,Total,Pharmacy,,Member,,,,0,0,,,,,,
Outreach,run1,Engaged,2017,Wellness Workshops,Total,Total,,Member,,,,,,,,,,,
Outreach,run1,Engaged,2017,Wellness Workshops,Total,Medical,,Member,,,,0,0,1,,,,,
Outreach,run1,Engaged,2017,Wellness Workshops,Total,Pharmacy,,Member,,,,0,0,1,,,,,
Outreach,run1,Engaged,2017,Wellness Workshops,Total,Total,,Member,,,,,,1,,,,,
Outreach,run1,Engaged,2017,Wellness Challenges,Total,Medical,,Member,,,,0,0,2,,,,,
Outreach,run1,Engaged,2017,Wellness Challenges,Total,Pharmacy,,Member,,,,0,0,2,,,,,
Outreach,run1,Engaged,2017,Wellness Challenges,Total,Total,,Member,,,,,,2,,,,,
Outreach,run1,Engaged,2017,Wellness Tracker,Total,Medical,,Member,,,,0,0,3,,,,,
Outreach,run1,Engaged,2017,Wellness Tracker,Total,Pharmacy,,Member,,,,0,0,3,,,,,
Outreach,run1,Engaged,2017,Wellness Tracker,Total,Total,,Member,,,,,,3,,,,,
Outreach,run1,Engaged,2017,HA Case Calls,Total,Medical,,Member,,,,0,0,4,,,,,
Outreach,run1,Engaged,2017,HA Case Calls,Total,Pharmacy,,Member,,,,0,0,4,,,,,
Outreach,run1,Engaged,2017,HA Case Calls,Total,Total,,Member,,,,,,4,,,,,
Outreach,run1,Engaged,2017,Biometrics,Total,Medical,,Member,,,,0,0,5,,,,,
Outreach,run1,Engaged,2017,Biometrics,Total,Pharmacy,,Member,,,,0,0,5,,,,,
Outreach,run1,Engaged,2017,Biometrics,Total,Total,,Member,,,,,,5,,,,,
Outreach,run1,Engaged,2017,Wellness Commitments,Total,Medical,,Member,,,,0,0,6,,,,,
Outreach,run1,Engaged,2017,Wellness Commitments,Total,Pharmacy,,Member,,,,0,0,6,,,,,
Outreach,run1,Engaged,2017,Wellness Commitments,Total,Total,,Member,,,,,,6,,,,,
Outreach,run1,Engaged,2017,MEP Login,Total,Medical,,Member,,,,0,0,7,,,,,
Outreach,run1,Engaged,2017,MEP Login,Total,Pharmacy,,Member,,,,0,0,7,,,,,
Outreach,run1,Engaged,2017,MEP Login,Total,Total,,Member,,,,,,7,,,,,
Outreach,run1,Engaged,2017,Biometrics,Total,Medical,,Employee,,,,0,0,,,,,,
Outreach,run1,Engaged,2017,Biometrics,Total,Pharmacy,,Employee,,,,0,0,,,,,,
Outreach,run1,Engaged,2017,Biometrics,Total,Total,,Employee,,,,,,,,,,,
Outreach,run1,Engaged,2017,HA Case Calls,Total,Medical,,Employee,,,,0,0,,,,,,
Outreach,run1,Engaged,2017,HA Case Calls,Total,Pharmacy,,Employee,,,,0,0,,,,,,
Outreach,run1,Engaged,2017,HA Case Calls,Total,Total,,Employee,,,,,,,,,,,
Outreach,run1,Engaged,2017,MEP Login,Total,Medical,,Employee,,,,0,0,,,,,,
Outreach,run1,Engaged,2017,MEP Login,Total,Pharmacy,,Employee,,,,0,0,,,,,,
Outreach,run1,Engaged,2017,MEP Login,Total,Total,,Employee,,,,,,,,,,,
Outreach,run1,Engaged,2017,Tier,Total,Medical,High,Employee,,,,0,0,,,,,,
Outreach,run1,Engaged,2017,Tier,Total,Pharmacy,High,Employee,,,,0,0,,,,,,
Outreach,run1,Engaged,2017,Tier,Total,Total,High,Employee,,,,,,,,,,,
Outreach,run1,Engaged,2017,Tier,Total,Medical,Low,Employee,,,,0,0,,,,,,
Outreach,run1,Engaged,2017,Tier,Total,Pharmacy,Low,Employee,,,,0,0,,,,,,
Outreach,run1,Engaged,2017,Tier,Total,Total,Low,Employee,,,,,,,,,,,
Outreach,run1,Engaged,2017,Total,Total,Medical,,Employee,,0,0,0,0,,,,,,
Outreach,run1,Engaged,2017,Total,Total,Pharmacy,,Employee,,0,0,0,0,,,,,,
Outreach,run1,Engaged,2017,Total,Total,Total,,Employee,,0,0,,,,,,,,
Outreach,run1,Engaged,2017,Wellness Challenges,Total,Medical,,Employee,,,,0,0,,,,,,
Outreach,run1,Engaged,2017,Wellness Challenges,Total,Pharmacy,,Employee,,,,0,0,,,,,,
Outreach,run1,Engaged,2017,Wellness Challenges,Total,Total,,Employee,,,,,,,,,,,
Outreach,run1,Engaged,2017,Wellness Commitments,Total,Medical,,Employee,,,,0,0,,,,,,
Outreach,run1,Engaged,2017,Wellness Commitments,Total,Pharmacy,,Employee,,,,0,0,,,,,,
Outreach,run1,Engaged,2017,Wellness Commitments,Total,Total,,Employee,,,,,,,,,,,
Outreach,run1,Engaged,2017,Wellness Tracker,Total,Medical,,Employee,,,,0,0,,,,,,
Outreach,run1,Engaged,2017,Wellness Tracker,Total,Pharmacy,,Employee,,,,0,0,,,,,,
Outreach,run1,Engaged,2017,Wellness Tracker,Total,Total,,Employee,,,,,,,,,,,
Outreach,run1,Engaged,2017,Wellness Workshops,Total,Medical,,Employee,,,,0,0,,,,,,
Outreach,run1,Engaged,2017,Wellness Workshops,Total,Pharmacy,,Employee,,,,0,0,,,,,,
Outreach,run1,Engaged,2017,Wellness Workshops,Total,Total,,Employee,,,,,,,,,,,
Outreach,run1,Engaged,2017,Wellness Workshops,Total,Medical,,Employee,,,,0,0,1,,,,,
Outreach,run1,Engaged,2017,Wellness Workshops,Total,Pharmacy,,Employee,,,,0,0,1,,,,,
Outreach,run1,Engaged,2017,Wellness Workshops,Total,Total,,Employee,,,,,,1,,,,,
Outreach,run1,Engaged,2017,Wellness Challenges,Total,Medical,,Employee,,,,0,0,2,,,,,
Outreach,run1,Engaged,2017,Wellness Challenges,Total,Pharmacy,,Employee,,,,0,0,2,,,,,
Outreach,run1,Engaged,2017,Wellness Challenges,Total,Total,,Employee,,,,,,2,,,,,
Outreach,run1,Engaged,2017,Wellness Tracker,Total,Medical,,Employee,,,,0,0,3,,,,,
Outreach,run1,Engaged,2017,Wellness Tracker,Total,Pharmacy,,Employee,,,,0,0,3,,,,,
Outreach,run1,Engaged,2017,Wellness Tracker,Total,Total,,Employee,,,,,,3,,,,,
Outreach,run1,Engaged,2017,HA Case Calls,Total,Medical,,Employee,,,,0,0,4,,,,,
Outreach,run1,Engaged,2017,HA Case Calls,Total,Pharmacy,,Employee,,,,0,0,4,,,,,
Outreach,run1,Engaged,2017,HA Case Calls,Total,Total,,Employee,,,,,,4,,,,,
Outreach,run1,Engaged,2017,Biometrics,Total,Medical,,Employee,,,,0,0,5,,,,,
Outreach,run1,Engaged,2017,Biometrics,Total,Pharmacy,,Employee,,,,0,0,5,,,,,
Outreach,run1,Engaged,2017,Biometrics,Total,Total,,Employee,,,,,,5,,,,,
Outreach,run1,Engaged,2017,Wellness Commitments,Total,Medical,,Employee,,,,0,0,6,,,,,
Outreach,run1,Engaged,2017,Wellness Commitments,Total,Pharmacy,,Employee,,,,0,0,6,,,,,
Outreach,run1,Engaged,2017,Wellness Commitments,Total,Total,,Employee,,,,,,6,,,,,
Outreach,run1,Engaged,2017,MEP Login,Total,Medical,,Employee,,,,0,0,7,,,,,
Outreach,run1,Engaged,2017,MEP Login,Total,Pharmacy,,Employee,,,,0,0,7,,,,,
Outreach,run1,Engaged,2017,MEP Login,Total,Total,,Employee,,,,,,7,,,,,
Outreach,run1,Engaged,2018,Biometrics,Total,Medical,,Member,,,,0,0,,,,1.54191308,,
Outreach,run1,Engaged,2018,Biometrics,Total,Pharmacy,,Member,,,,0,0,,,,1.54191308,,
Outreach,run1,Engaged,2018,Biometrics,Total,Total,,Member,,,,,,,,,1.54191308,,
Outreach,run1,Engaged,2018,HA Case Calls,Total,ER,,Member,24299.55,107,107,16,10,,227.0985981,2429.955,1.54191308,147.2836576,1575.935137
Outreach,run1,Engaged,2018,HA Case Calls,Total,Inpatient,,Member,75328.52,107,107,5,4,,704.0048598,18832.13,1.54191308,456.5788235,12213.48353
Outreach,run1,Engaged,2018,HA Case Calls,Total,Maternity,,Member,7838.6,107,107,22,3,,73.25794393,2612.866667,1.54191308,47.51107238,1694.561581
Outreach,run1,Engaged,2018,HA Case Calls,Total,Medical,,Member,375427.22,107,107,783,91,,3508.665608,4125.573846,1.54191308,2275.527495,2675.620241
Outreach,run1,Engaged,2018,HA Case Calls,Total,Office Visit,,Member,7612.69,107,107,44,37,,71.14663551,205.7483784,1.54191308,46.14179389,133.4370796
Outreach,run1,Engaged,2018,HA Case Calls,Total,Outpatient,,Member,162340.7,107,107,230,54,,1517.202804,3006.309259,1.54191308,983.9742744,1949.726803
Outreach,run1,Engaged,2018,HA Case Calls,Total,Pharmacy,,Member,275617.32,107,107,1073,86,,2575.862804,3204.852558,1.54191308,1670.562912,2078.491064
Outreach,run1,Engaged,2018,HA Case Calls,Total,Professional,,Member,137758,107,107,625,90,,1287.457944,1530.644444,1.54191308,834.974397,992.6917831
Outreach,run1,Engaged,2018,HA Case Calls,Total,Total,,Member,651044.54,107,107,,,,6084.528411,,1.54191308,3946.090406,
Outreach,run1,Engaged,2018,MEP Login,Total,Medical,,Member,,,,0,0,,,,1.54191308,,
Outreach,run1,Engaged,2018,MEP Login,Total,Pharmacy,,Member,,,,0,0,,,,1.54191308,,
Outreach,run1,Engaged,2018,MEP Login,Total,Total,,Member,,,,,,,,,1.54191308,,
Outreach,run1,Engaged,2018,Tier,Total,ER,High,Member,24299.55,107,107,16,10,,227.0985981,2429.955,1.54191308,147.2836576,1575.935137
Outreach,run1,Engaged,2018,Tier,Total,Inpatient,High,Member,75328.52,107,107,5,4,,704.0048598,18832.13,1.54191308,456.5788235,12213.48353
Outreach,run1,Engaged,2018,Tier,Total,Maternity,High,Member,7838.6,107,107,22,3,,73.25794393,2612.866667,1.54191308,47.51107238,1694.561581
Outreach,run1,Engaged,2018,Tier,Total,Medical,High,Member,375427.22,107,107,783,91,,3508.665608,4125.573846,1.54191308,2275.527495,2675.620241
Outreach,run1,Engaged,2018,Tier,Total,Office Visit,High,Member,7612.69,107,107,44,37,,71.14663551,205.7483784,1.54191308,46.14179389,133.4370796
Outreach,run1,Engaged,2018,Tier,Total,Outpatient,High,Member,162340.7,107,107,230,54,,1517.202804,3006.309259,1.54191308,983.9742744,1949.726803
Outreach,run1,Engaged,2018,Tier,Total,Pharmacy,High,Member,275617.32,107,107,1073,86,,2575.862804,3204.852558,1.54191308,1670.562912,2078.491064
Outreach,run1,Engaged,2018,Tier,Total,Professional,High,Member,137758,107,107,625,90,,1287.457944,1530.644444,1.54191308,834.974397,992.6917831
Outreach,run1,Engaged,2018,Tier,Total,Total,High,Member,651044.54,107,107,,,,6084.528411,,1.54191308,3946.090406,
Outreach,run1,Engaged,2018,Tier,Total,Medical,Low,Member,,,,0,0,,,,1.54191308,,
Outreach,run1,Engaged,2018,Tier,Total,Pharmacy,Low,Member,,,,0,0,,,,1.54191308,,
Outreach,run1,Engaged,2018,Tier,Total,Total,Low,Member,,,,,,,,,1.54191308,,
Outreach,run1,Engaged,2018,Total,Total,ER,,Member,24299.55,107,107,16,10,,227.0985981,2429.955,1.54191308,147.2836576,1575.935137
Outreach,run1,Engaged,2018,Total,Total,Inpatient,,Member,75328.52,107,107,5,4,,704.0048598,18832.13,1.54191308,456.5788235,12213.48353
Outreach,run1,Engaged,2018,Total,Total,Maternity,,Member,7838.6,107,107,22,3,,73.25794393,2612.866667,1.54191308,47.51107238,1694.561581
